Carrier,Departure Time,Destination,Distance,Date,Flight Number,Origin,Day of the Week,Day of the Month,Delayed 
OH,1455,JFK,184,01-01-04,5935,BWI,4,1,ontime
DH,1640,JFK,213,01-01-04,6155,DCA,4,1,ontime
DH,1245,LGA,229,01-01-04,7208,IAD,4,1,ontime
DH,1709,LGA,229,01-01-04,7215,IAD,4,1,ontime
DH,1035,LGA,229,01-01-04,7792,IAD,4,1,ontime
DH,839,JFK,228,01-01-04,7800,IAD,4,1,ontime
DH,1243,JFK,228,01-01-04,7806,IAD,4,1,ontime
DH,1644,JFK,228,01-01-04,7810,IAD,4,1,ontime
DH,1710,JFK,228,01-01-04,7812,IAD,4,1,ontime
DH,2129,JFK,228,01-01-04,7814,IAD,4,1,ontime
DH,2114,LGA,229,01-01-04,7924,IAD,4,1,ontime
DL,1458,JFK,213,01-01-04,746,DCA,4,1,ontime
DL,932,LGA,214,01-01-04,1746,DCA,4,1,ontime
DL,1228,LGA,214,01-01-04,1752,DCA,4,1,ontime
DL,1429,LGA,214,01-01-04,1756,DCA,4,1,ontime
DL,1728,LGA,214,01-01-04,1762,DCA,4,1,ontime
DL,2029,LGA,214,01-01-04,1768,DCA,4,1,ontime
MQ,1525,JFK,213,01-01-04,4752,DCA,4,1,ontime
MQ,556,JFK,213,01-01-04,4760,DCA,4,1,ontime
MQ,1822,JFK,213,01-01-04,4784,DCA,4,1,ontime
MQ,853,LGA,214,01-01-04,4956,DCA,4,1,ontime
MQ,1254,LGA,214,01-01-04,4964,DCA,4,1,ontime
MQ,1356,LGA,214,01-01-04,4966,DCA,4,1,ontime
MQ,1452,LGA,214,01-01-04,4968,DCA,4,1,ontime
MQ,1853,LGA,214,01-01-04,4976,DCA,4,1,ontime
UA,841,LGA,229,01-01-04,846,IAD,4,1,ontime
US,858,LGA,214,01-01-04,2164,DCA,4,1,ontime
US,1056,LGA,214,01-01-04,2168,DCA,4,1,ontime
US,1253,LGA,214,01-01-04,2172,DCA,4,1,ontime
US,1458,LGA,214,01-01-04,2176,DCA,4,1,ontime
US,1655,LGA,214,01-01-04,2180,DCA,4,1,ontime
US,2055,LGA,214,01-01-04,2188,DCA,4,1,ontime
RU,1452,EWR,169,01-01-04,2403,BWI,4,1,ontime
RU,1710,EWR,169,01-01-04,2675,BWI,4,1,ontime
RU,1030,EWR,169,01-01-04,2303,BWI,4,1,ontime
RU,656,EWR,169,01-01-04,2703,BWI,4,1,ontime
CO,1256,EWR,199,01-01-04,808,DCA,4,1,ontime
CO,1726,EWR,199,01-01-04,814,DCA,4,1,ontime
DH,840,EWR,213,01-01-04,7299,IAD,4,1,ontime
DH,1704,EWR,213,01-01-04,7302,IAD,4,1,ontime
DH,1245,EWR,213,01-01-04,7303,IAD,4,1,ontime
DH,2118,EWR,213,01-01-04,7304,IAD,4,1,ontime
RU,1651,EWR,213,01-01-04,2497,IAD,4,1,ontime
RU,1850,EWR,213,01-01-04,2385,IAD,4,1,ontime
RU,1521,EWR,199,01-01-04,2261,DCA,4,1,ontime
RU,1855,EWR,199,01-01-04,2336,DCA,4,1,ontime
RU,1357,EWR,199,01-01-04,2216,DCA,4,1,ontime
RU,1508,EWR,213,01-01-04,2156,IAD,4,1,ontime
RU,1255,EWR,213,01-01-04,2664,IAD,4,1,ontime
RU,1625,EWR,199,01-01-04,2181,DCA,4,1,ontime
OH,1455,JFK,184,01-02-04,5935,BWI,5,2,ontime
DH,1641,JFK,213,01-02-04,6155,DCA,5,2,ontime
DH,1249,LGA,229,01-02-04,7208,IAD,5,2,ontime
DH,1531,LGA,229,01-02-04,7211,IAD,5,2,delayed
DH,1712,LGA,229,01-02-04,7215,IAD,5,2,ontime
DH,645,LGA,229,01-02-04,7790,IAD,5,2,ontime
DH,1236,LGA,229,01-02-04,7792,IAD,5,2,delayed
DH,859,JFK,228,01-02-04,7800,IAD,5,2,ontime
DH,1232,JFK,228,01-02-04,7806,IAD,5,2,ontime
DH,1455,JFK,228,01-02-04,7808,IAD,5,2,ontime
DH,1645,JFK,228,01-02-04,7810,IAD,5,2,ontime
DH,1716,JFK,228,01-02-04,7812,IAD,5,2,ontime
DH,2305,JFK,228,01-02-04,7814,IAD,5,2,delayed
DH,1605,JFK,228,01-02-04,7816,IAD,5,2,ontime
DH,2118,LGA,229,01-02-04,7924,IAD,5,2,ontime
DL,1458,JFK,213,01-02-04,746,DCA,5,2,ontime
DL,930,LGA,214,01-02-04,1746,DCA,5,2,ontime
DL,1230,LGA,214,01-02-04,1752,DCA,5,2,ontime
DL,1427,LGA,214,01-02-04,1756,DCA,5,2,ontime
DL,1730,LGA,214,01-02-04,1762,DCA,5,2,ontime
DL,2028,LGA,214,01-02-04,1768,DCA,5,2,ontime
MQ,1522,JFK,213,01-02-04,4752,DCA,5,2,ontime
MQ,552,JFK,213,01-02-04,4760,DCA,5,2,ontime
MQ,1847,JFK,213,01-02-04,4784,DCA,5,2,ontime
MQ,852,LGA,214,01-02-04,4956,DCA,5,2,ontime
MQ,1053,LGA,214,01-02-04,4960,DCA,5,2,ontime
MQ,1258,LGA,214,01-02-04,4964,DCA,5,2,ontime
MQ,1402,LGA,214,01-02-04,4966,DCA,5,2,ontime
MQ,1456,LGA,214,01-02-04,4968,DCA,5,2,ontime
UA,850,LGA,229,01-02-04,846,IAD,5,2,ontime
US,657,LGA,214,01-02-04,2160,DCA,5,2,ontime
US,857,LGA,214,01-02-04,2164,DCA,5,2,ontime
US,1058,LGA,214,01-02-04,2168,DCA,5,2,ontime
US,1258,LGA,214,01-02-04,2172,DCA,5,2,ontime
US,1458,LGA,214,01-02-04,2176,DCA,5,2,ontime
US,1655,LGA,214,01-02-04,2180,DCA,5,2,ontime
US,1855,LGA,214,01-02-04,2184,DCA,5,2,ontime
US,2056,LGA,214,01-02-04,2188,DCA,5,2,ontime
RU,1715,EWR,169,01-02-04,2675,BWI,5,2,ontime
RU,1030,EWR,169,01-02-04,2303,BWI,5,2,ontime
RU,656,EWR,169,01-02-04,2703,BWI,5,2,ontime
RU,1456,EWR,169,01-02-04,2403,BWI,5,2,ontime
CO,1727,EWR,199,01-02-04,814,DCA,5,2,ontime
CO,1301,EWR,199,01-02-04,808,DCA,5,2,ontime
CO,754,EWR,199,01-02-04,806,DCA,5,2,ontime
DH,837,EWR,213,01-02-04,7299,IAD,5,2,ontime
DH,1350,EWR,213,01-02-04,7303,IAD,5,2,delayed
DH,1512,EWR,213,01-02-04,7307,IAD,5,2,delayed
DH,629,EWR,213,01-02-04,7371,IAD,5,2,ontime
RU,1625,EWR,199,01-02-04,2181,DCA,5,2,ontime
RU,655,EWR,213,01-02-04,2855,IAD,5,2,ontime
RU,858,EWR,199,01-02-04,2582,DCA,5,2,ontime
RU,657,EWR,199,01-02-04,2761,DCA,5,2,ontime
RU,1650,EWR,213,01-02-04,2497,IAD,5,2,ontime
RU,1856,EWR,213,01-02-04,2385,IAD,5,2,ontime
RU,1253,EWR,213,01-02-04,2692,IAD,5,2,ontime
RU,854,EWR,213,01-02-04,3276,IAD,5,2,ontime
RU,1858,EWR,199,01-02-04,2336,DCA,5,2,ontime
RU,2050,EWR,199,01-02-04,2879,DCA,5,2,ontime
RU,1358,EWR,199,01-02-04,2216,DCA,5,2,ontime
RU,1510,EWR,213,01-02-04,2156,IAD,5,2,delayed
RU,1519,EWR,199,01-02-04,2261,DCA,5,2,ontime
DH,1243,LGA,229,01-03-04,7208,IAD,6,3,ontime
DH,1738,LGA,229,01-03-04,7215,IAD,6,3,ontime
DH,640,LGA,229,01-03-04,7790,IAD,6,3,ontime
DH,1030,LGA,229,01-03-04,7792,IAD,6,3,ontime
DH,855,JFK,228,01-03-04,7800,IAD,6,3,ontime
DH,1237,JFK,228,01-03-04,7806,IAD,6,3,ontime
DH,1455,JFK,228,01-03-04,7808,IAD,6,3,ontime
DH,1654,JFK,228,01-03-04,7810,IAD,6,3,ontime
DH,1741,JFK,228,01-03-04,7812,IAD,6,3,ontime
DH,2213,JFK,228,01-03-04,7814,IAD,6,3,delayed
DH,1604,JFK,228,01-03-04,7816,IAD,6,3,ontime
DH,2138,LGA,229,01-03-04,7924,IAD,6,3,ontime
DL,1505,JFK,213,01-03-04,746,DCA,6,3,delayed
DL,828,LGA,214,01-03-04,1744,DCA,6,3,ontime
DL,1030,LGA,214,01-03-04,1748,DCA,6,3,ontime
DL,1230,LGA,214,01-03-04,1752,DCA,6,3,ontime
DL,1428,LGA,214,01-03-04,1756,DCA,6,3,ontime
DL,1629,LGA,214,01-03-04,1760,DCA,6,3,ontime
DL,1829,LGA,214,01-03-04,1764,DCA,6,3,ontime
DL,2024,LGA,214,01-03-04,1768,DCA,6,3,ontime
MQ,1600,JFK,213,01-03-04,4752,DCA,6,3,delayed
MQ,555,JFK,213,01-03-04,4760,DCA,6,3,ontime
MQ,1829,JFK,213,01-03-04,4784,DCA,6,3,ontime
MQ,855,LGA,214,01-03-04,4956,DCA,6,3,ontime
MQ,1254,LGA,214,01-03-04,4964,DCA,6,3,ontime
UA,849,LGA,229,01-03-04,846,IAD,6,3,ontime
US,655,LGA,214,01-03-04,2160,DCA,6,3,ontime
US,858,LGA,214,01-03-04,2164,DCA,6,3,ontime
US,1059,LGA,214,01-03-04,2168,DCA,6,3,ontime
US,1256,LGA,214,01-03-04,2172,DCA,6,3,ontime
US,1500,LGA,214,01-03-04,2176,DCA,6,3,ontime
US,1658,LGA,214,01-03-04,2180,DCA,6,3,ontime
US,1857,LGA,214,01-03-04,2184,DCA,6,3,ontime
RU,1714,EWR,169,01-03-04,2675,BWI,6,3,ontime
RU,655,EWR,169,01-03-04,2703,BWI,6,3,ontime
RU,1026,EWR,169,01-03-04,2303,BWI,6,3,ontime
RU,1448,EWR,169,01-03-04,2267,BWI,6,3,ontime
CO,1255,EWR,199,01-03-04,808,DCA,6,3,ontime
